pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
ul	0.0042	0.0099	0.0333	0.0219
um	0.0089	0.0209	0.0688	0.0459
un	0.0099	0.0232	0.0759	0.0508
uo	0.0029	0.0069	0.0234	0.0154
up	0.0029	0.0069	0.0234	0.0154
uq	0.0022	0.0053	0.0180	0.0118
ur	0.0018	0.0041	0.0142	0.0093
us	0.0025	0.0060	0.0203	0.0133
ut	0.0018	0.0041	0.0142	0.0093
uu	0.0003	0.0007	0.0024	0.0016
uv	0.0039	0.0093	0.0313	0.0206
uw	0.0018	0.0041	0.0142	0.0093
ux	0.0039	0.0093	0.0313	0.0206
uy	0.0045	0.0105	0.0353	0.0233
uz	0.0050	0.0117	0.0394	0.0260
u;	0.0042	0.0099	0.0333	0.0219
u,	0.0065	0.0153	0.0510	0.0338
u.	0.0065	0.0153	0.0510	0.0338
u/	0.0065	0.0153	0.0510	0.0338
va	0.0053	0.0125	0.0419	0.0277
vb	0.0099	0.0232	0.0759	0.0508
vc	0.0065	0.0153	0.0510	0.0338
vd	0.0042	0.0099	0.0333	0.0219
ve	0.0029	0.0069	0.0234	0.0154
vf	0.0057	0.0135	0.0452	0.0299
vg	0.0064	0.0150	0.0500	0.0331
vh	0.0025	0.0060	0.0203	0.0133
vi	0.0018	0.0041	0.0142	0.0093
vj	0.0025	0.0060	0.0203	0.0133
vk	0.0025	0.0060	0.0203	0.0133
vl	0.0025	0.0060	0.0203	0.0133
vm	0.0039	0.0093	0.0313	0.0206
vn	0.0039	0.0093	0.0313	0.0206
vo	0.0018	0.0041	0.0142	0.0093
vp	0.0018	0.0041	0.0142	0.0093
vq	0.0037	0.0087	0.0295	0.0194
vr	0.0040	0.0094	0.0319	0.0210
vs	0.0042	0.0099	0.0333	0.0219
vt	0.0045	0.0105	0.0353	0.0233
vu	0.0018	0.0041	0.0142	0.0093
vv	0.0007	0.0016	0.0054	0.0035
vw	0.0029	0.0069	0.0234	0.0154
vx	0.0065	0.0153	0.0510	0.0338
vy	0.0018	0.0041	0.0142	0.0093
vz	0.0083	0.0194	0.0639	0.0426
v;	0.0025	0.0060	0.0203	0.0133
v,	0.0039	0.0093	0.0313	0.0206
v.	0.0039	0.0093	0.0313	0.0206
v/	0.0039	0.0093	0.0313	0.0206
wa	0.0089	0.0208	0.0684	0.0456
wb	0.0065	0.0153	0.0510	0.0338
wc	0.0089	0.0208	0.0685	0.0457
wd	0.0057	0.0134	0.0450	0.0297
we	0.0040	0.0094	0.0317	0.0209
wf	0.0042	0.0099	0.0333	0.0219
wg	0.0042	0.0099	0.0333	0.0219
wh	0.0025	0.0060	0.0203	0.0133
wi	0.0018	0.0041	0.0142	0.0093
wj	0.0025	0.0060	0.0203	0.0133
wk	0.0025	0.0060	0.0203	0.0133
wl	0.0025	0.0060	0.0203	0.0133
wm	0.0039	0.0093	0.0313	0.0206
wn	0.0039	0.0093	0.0313	0.0206
wo	0.0018	0.0041	0.0142	0.0093
wp	0.0018	0.0041	0.0142	0.0093
wq	0.0062	0.0146	0.0486	0.0322
wr	0.0029	0.0069	0.0234	0.0154
ws	0.0057	0.0135	0.0452	0.0299
wt	0.0029	0.0069	0.0234	0.0154
wu	0.0018	0.0041	0.0142	0.0093
wv	0.0065	0.0153	0.0510	0.0338
ww	0.0003	0.0007	0.0024	0.0016
wx	0.0089	0.0209	0.0688	0.0459
wy	0.0018	0.0041	0.0142	0.0093
wz	0.0138	0.0321	0.1029	0.0695
w;	0.0025	0.0060	0.0203	0.0133
w,	0.0039	0.0093	0.0313	0.0206
w.	0.0039	0.0093	0.0313	0.0206
w/	0.0039	0.0093	0.0313	0.0206
xa	0.0089	0.0208	0.0684	0.0456
xb	0.0065	0.0153	0.0510	0.0338
xc	0.0089	0.0208	0.0685	0.0457
xd	0.0057	0.0134	0.0450	0.0297
xe	0.0040	0.0094	0.0317	0.0209
xf	0.0042	0.0099	0.0333	0.0219
xg	0.0042	0.0099	0.0333	0.0219
xh	0.0025	0.0060	0.0203	0.0133
xi	0.0018	0.0041	0.0142	0.0093
xj	0.0025	0.0060	0.0203	0.0133
xk	0.0025	0.0060	0.0203	0.0133
xl	0.0025	0.0060	0.0203	0.0133
xm	0.0039	0.0093	0.0313	0.0206
xn	0.0039	0.0093	0.0313	0.0206
xo	0.0018	0.0041	0.0142	0.0093
xp	0.0018	0.0041	0.0142	0.0093
xq	0.0062	0.0146	0.0486	0.0322
xr	0.0029	0.0069	0.0234	0.0154
xs	0.0057	0.0135	0.0452	0.0299
xt	0.0029	0.0069	0.0234	0.0154
xu	0.0018	0.0041	0.0142	0.0093
xv	0.0065	0.0153	0.0510	0.0338
xw	0.0040	0.0094	0.0319	0.0210
xx	0.0007	0.0016	0.0054	0.0035
xy	0.0018	0.0041	0.0142	0.0093
xz	0.0138	0.0321	0.1029	0.0695
x;	0.0025	0.0060	0.0203	0.0133
x,	0.0039	0.0093	0.0313	0.0206
x.	0.0039	0.0093	0.0313	0.0206
x/	0.0039	0.0093	0.0313	0.0206
ya	0.0032	0.0075	0.0256	0.0168
yb	0.0039	0.0093	0.0313	0.0206
yc	0.0039	0.0093	0.0313	0.0206
yd	0.0025	0.0060	0.0203	0.0133
ye	0.0018	0.0041	0.0142	0.0093
yf	0.0025	0.0060	0.0203	0.0133
yg	0.0025	0.0060	0.0203	0.0133
yh	0.0057	0.0135	0.0452	0.0299
yi	0.0029	0.0069	0.0234	0.0154
yj	0.0064	0.0150	0.0500	0.0331
yk	0.0042	0.0099	0.0333	0.0219
yl	0.0042	0.0099	0.0333	0.0219
ym	0.0099	0.0232	0.0759	0.0508
yn	0.0089	0.0209	0.0688	0.0459
yo	0.0029	0.0069	0.0234	0.0154
yp	0.0029	0.0069	0.0234	0.0154
yq	0.0022	0.0053	0.0180	0.0118
yr	0.0018	0.0041	0.0142	0.0093
ys	0.0025	0.0060	0.0203	0.0133
yt	0.0018	0.0041	0.0142	0.0093
yu	0.0045	0.0105	0.0353	0.0233
yv	0.0039	0.0093	0.0313	0.0206
yw	0.0018	0.0041	0.0142	0.0093
yx	0.0039	0.0093	0.0313	0.0206
yy	0.0003	0.0007	0.0024	0.0016
yz	0.0050	0.0117	0.0394	0.0260
y;	0.0042	0.0099	0.0333	0.0219
y,	0.0065	0.0153	0.0510	0.0338
y.	0.0065	0.0153	0.0510	0.0338
y/	0.0065	0.0153	0.0510	0.0338
za	0.0073	0.0171	0.0567	0.0377
zb	0.0065	0.0153	0.0510	0.0338
zc	0.0065	0.0153	0.0510	0.0338
zd	0.0042	0.0099	0.0333	0.0219
ze	0.0029	0.0069	0.0234	0.0154
zf	0.0042	0.0099	0.0333	0.0219
zg	0.0042	0.0099	0.0333	0.0219
zh	0.0025	0.0060	0.0203	0.0133
zi	0.0018	0.0041	0.0142	0.0093
zj	0.0025	0.0060	0.0203	0.0133
zk	0.0025	0.0060	0.0203	0.0133
zl	0.0025	0.0060	0.0203	0.0133
zm	0.0039	0.0093	0.0313	0.0206
zn	0.0039	0.0093	0.0313	0.0206
zo	0.0018	0.0041	0.0142	0.0093
zp	0.0018	0.0041	0.0142	0.0093
zq	0.0051	0.0120	0.0402	0.0265
zr	0.0029	0.0069	0.0234	0.0154
